Brain_id	well_id	batch_id	slab_num	slab_type	sample_ontology_id	sample_name	tissue_class	coarse_tissue_class	MNI_x	MNI_y	MNI_z	network_name
br1_H0351.2001	1042	275-111	18	CX	4173	"planum temporale, Right"	planum temporale	planum temporale	58.800	-22.900	14.200	Auditory
br1_H0351.2001	948	275-113	16	CX	4167	"Heschl's gyrus, Right"	Heschl's gyrus	Heschl's gyrus	50.700	-10.400	3.800	Auditory
br1_H0351.2001	899	275-113	16	CX	4166	"Heschl's gyrus, Left"	Heschl's gyrus	Heschl's gyrus	-50.700	-10.700	5.900	Auditory
br1_H0351.2001	956	275-113	16	CX	4170	"transverse gyri, Right"	transverse gyri	transverse gyri	58.100	-9.700	6.100	Auditory
br1_H0351.2001	770	275-109	14	CX	4167	"Heschl's gyrus, Right"	Heschl's gyrus	Heschl's gyrus	52.000	-0.700	3.200	Auditory
br1_H0351.2001	778	275-109	14	CX	4173	"planum temporale, Right"	planum temporale	planum temporale	62.500	-1.800	2.500	Auditory
br1_H0351.2001	989	275-111	18	CX	4160	"fusiform gyrus, Left, bank of cos"	"fusiform gyrus, bank of cos"	fusiform gyrus	-32.200	-31.600	-16.600	dDMN
br1_H0351.2001	990	275-111	16	CX	4245	"parahippocampal gyrus, Left, bank of the cos"	"parahippocampal gyrus, bank of the cos"	parahippocampal gyrus	-25.600	-22.400	-23.800	dDMN
br1_H0351.2001	257	275-104	6	CX	4901	"inferior rostral gyrus, Left"	inferior rostral gyrus	inferior rostral gyrus	-3.800	46.800	-12.700	dDMN
br1_H0351.2001	225	275-104	6	CX	4023	"superior frontal gyrus, Left, medial bank of gyrus"	"superior frontal gyrus, medial bank of gyrus"	superior frontal gyrus	1.700	57.300	22.500	dDMN
br1_H0351.2001	233	275-105	6	CX	4899	"superior rostral gyrus, Right"	superior rostral gyrus	superior rostral gyrus	5.900	53.700	8.700	dDMN
br1_H0351.2001	282	275-104	28	CX	4121	"precuneus, Left, inferior lateral bank of gyrus"	"precuneus, inferior lateral bank of gyrus"	precuneus	-5.600	-64.400	23.800	dDMN
br1_H0351.2001	178	275-104	4	CX	4023	"superior frontal gyrus, Left, medial bank of gyrus"	"superior frontal gyrus, medial bank of gyrus"	superior frontal gyrus	-2.300	64.800	9.800	dDMN
br1_H0351.2001	186	275-104	4	CX	4023	"superior frontal gyrus, Left, medial bank of gyrus"	"superior frontal gyrus, medial bank of gyrus"	superior frontal gyrus	-1.200	64.900	9.800	dDMN
br1_H0351.2001	249	275-104	6	CX	4902	"inferior rostral gyrus, Right"	inferior rostral gyrus	inferior rostral gyrus	9.900	44.800	-8.600	dDMN
br1_H0351.2001	170	275-104	4	CX	4902	"inferior rostral gyrus, Right"	inferior rostral gyrus	inferior rostral gyrus	5.000	61.100	-5.000	dDMN
br1_H0351.2001	769	275-109	24	CX	4234	"Cingulate gyrus, parietal part, Right, inferior bank of gyrus"	"Cingulate gyrus, parietal part, inferior bank of gyrus"	"Cingulate gyrus, parietal part"	8.700	-43.800	25.900	dDMN
br1_H0351.2001	410	275-106	10	CX	4224	"Cingulate gyrus, frontal part, Left, inferior bank of gyrus"	"Cingulate gyrus, frontal part, inferior bank of gyrus"	"Cingulate gyrus, frontal part"	0.000	31.600	12.700	dDMN
br1_H0351.2001	445	275-106	24	CX	4234	"Cingulate gyrus, parietal part, Right, inferior bank of gyrus"	"Cingulate gyrus, parietal part, inferior bank of gyrus"	"Cingulate gyrus, parietal part"	9.700	-43.800	25.900	dDMN
br1_H0351.2001	401	275-106	26	CX	4121	"precuneus, Left, inferior lateral bank of gyrus"	"precuneus, inferior lateral bank of gyrus"	precuneus	-4.200	-50.200	40.200	dDMN
br1_H0351.2001	378	275-105	8	CX	4024	"superior frontal gyrus, Left, lateral bank of gyrus"	"superior frontal gyrus, lateral bank of gyrus"	superior frontal gyrus	-21.900	42.000	37.200	dDMN
br1_H0351.2001	361	275-105	26	CX	4121	"precuneus, Left, inferior lateral bank of gyrus"	"precuneus, inferior lateral bank of gyrus"	precuneus	-3.100	-50.200	40.300	dDMN
br1_H0351.2001	323	275-105	8	CX	4224	"Cingulate gyrus, frontal part, Left, inferior bank of gyrus"	"Cingulate gyrus, frontal part, inferior bank of gyrus"	"Cingulate gyrus, frontal part"	-7.200	38.200	-7.800	dDMN
br1_H0351.2001	275	275-104	28	CX	4200	"occipito-temporal gyrus, Left, superior bank of gyrus"	"occipito-temporal gyrus, superior bank of gyrus"	occipito-temporal gyrus	-36.800	-86.000	-9.900	high_Visual
br1_H0351.2001	1011	275-111	18	CX	4145	"middle temporal gyrus, Right, superior bank of gyrus"	"middle temporal gyrus, superior bank of gyrus"	middle temporal gyrus	52.200	-31.500	-1.200	Language
br1_H0351.2001	1019	275-111	18	CX	4145	"middle temporal gyrus, Right, superior bank of gyrus"	"middle temporal gyrus, superior bank of gyrus"	middle temporal gyrus	49.100	-31.600	-1.200	Language
br1_H0351.2001	955	275-113	16	CX	4145	"middle temporal gyrus, Right, superior bank of gyrus"	"middle temporal gyrus, superior bank of gyrus"	middle temporal gyrus	48.300	-18.300	-9.300	Language
br1_H0351.2001	900	275-113	16	CX	4142	"middle temporal gyrus, Left, superior bank of gyrus"	"middle temporal gyrus, superior bank of gyrus"	middle temporal gyrus	-52.000	-21.000	-12.300	Language
br1_H0351.2001	1265	275-115	24	CX	4142	"middle temporal gyrus, Left, superior bank of gyrus"	"middle temporal gyrus, superior bank of gyrus"	middle temporal gyrus	-56.100	-58.000	10.200	Language
br1_H0351.2001	539	275-107	12	CX	4042	"inferior frontal gyrus, opercular part, Left"	"inferior frontal gyrus, opercular part"	"inferior frontal gyrus, opercular part"	-54.200	16.700	14.200	Language
br1_H0351.2001	442	275-106	10	CX	4079	"frontal operculum, Left"	frontal operculum	frontal operculum	-45.600	22.400	-2.400	Language
br1_H0351.2001	506	275-106	24	CX	4142	"middle temporal gyrus, Left, superior bank of gyrus"	"middle temporal gyrus, superior bank of gyrus"	middle temporal gyrus	-55.000	-58.000	10.200	Language
br1_H0351.2001	482	275-106	24	CX	4107	"supramarginal gyrus, Left, inferior bank of gyrus"	"supramarginal gyrus, inferior bank of gyrus"	supramarginal gyrus	-59.200	-54.400	24.000	Language
br1_H0351.2001	398	275-106	24	CX	4271	"Long Insular Gyri, Right"	Long Insular Gyri	Long Insular Gyri	49.600	-52.200	20.600	Language
br1_H0351.2001	882	275-113	16	CX	4024	"superior frontal gyrus, Left, lateral bank of gyrus"	"superior frontal gyrus, lateral bank of gyrus"	superior frontal gyrus	-18.200	20.400	54.800	LECN
br1_H0351.2001	874	275-113	16	CX	4030	"middle frontal gyrus, Left, superior bank of gyrus"	"middle frontal gyrus, superior bank of gyrus"	middle frontal gyrus	-25.600	18.900	53.700	LECN
br1_H0351.2001	756	275-108	20	CX	4151	"inferior temporal gyrus, Left, bank of mts"	"inferior temporal gyrus, bank of mts"	inferior temporal gyrus	-55.700	-44.100	-8.100	LECN
br1_H0351.2001	681	275-108	28	CX	4099	"supraparietal lobule, Left, inferior bank of gyrus"	"supraparietal lobule, inferior bank of gyrus"	supraparietal lobule	-35.100	-62.600	45.200	LECN
br1_H0351.2001	644	275-108	22	CX	4150	"inferior temporal gyrus, Left, lateral bank of gyrus"	"inferior temporal gyrus, lateral bank of gyrus"	inferior temporal gyrus	-54.900	-51.200	-10.100	LECN
br1_H0351.2001	234	275-104	28	CX	4099	"supraparietal lobule, Left, inferior bank of gyrus"	"supraparietal lobule, inferior bank of gyrus"	supraparietal lobule	-34.000	-62.600	45.200	LECN
br1_H0351.2001	242	275-104	28	CX	4113	"angular gyrus, Left, superior bank of gyrus"	"angular gyrus, superior bank of gyrus"	angular gyrus	-38.300	-62.500	58.600	LECN
br1_H0351.2001	145	275-104	30	CX	4113	"angular gyrus, Left, superior bank of gyrus"	"angular gyrus, superior bank of gyrus"	angular gyrus	-35.400	-76.500	51.100	LECN
br1_H0351.2001	1337	275-115	20	CX	4151	"inferior temporal gyrus, Left, bank of mts"	"inferior temporal gyrus, bank of mts"	inferior temporal gyrus	-57.900	-44.400	-9.200	LECN
br1_H0351.2001	1243	275-115	26	CX	4172	"planum temporale, Left"	planum temporale	planum temporale	-45.600	-62.600	33.700	LECN
br1_H0351.2001	659	275-107	22	CX	4149	"inferior temporal gyrus, Left, bank of the its"	"inferior temporal gyrus, bank of the its"	inferior temporal gyrus	-54.900	-52.600	-15.500	LECN
br1_H0351.2001	465	275-106	10	CX	4024	"superior frontal gyrus, Left, lateral bank of gyrus"	"superior frontal gyrus, lateral bank of gyrus"	superior frontal gyrus	-26.100	41.300	47.300	LECN
br1_H0351.2001	1235	275-112	26	CX	4113	"angular gyrus, Left, superior bank of gyrus"	"angular gyrus, superior bank of gyrus"	angular gyrus	-56.100	-60.300	43.100	LECN
br1_H0351.2001	722	275-108	20	CX	4106	"supramarginal gyrus, Left, superior bank of gyrus"	"supramarginal gyrus, superior bank of gyrus"	supramarginal gyrus	-53.200	-27.300	34.800	post_Salience
br1_H0351.2001	873	275-113	22	CX	4107	"supramarginal gyrus, Left, inferior bank of gyrus"	"supramarginal gyrus, inferior bank of gyrus"	supramarginal gyrus	-64.000	-38.700	25.500	post_Salience
br1_H0351.2001	940	275-113	16	CX	4179	"planum polare, Right"	planum polare	planum polare	40.000	-15.000	-4.500	post_Salience
br1_H0351.2001	730	275-116	20	CX	4090	"postcentral gyrus, Left, bank of the posterior central sulcus"	"postcentral gyrus, bank of the posterior central sulcus"	postcentral gyrus	-48.900	-24.800	35.600	post_Salience
br1_H0351.2001	697	275-108	20	CX	4109	"supramarginal gyrus, Right, superior bank of gyrus"	"supramarginal gyrus, superior bank of gyrus"	supramarginal gyrus	62.000	-22.800	47.900	post_Salience
br1_H0351.2001	658	275-107	22	CX	4106	"supramarginal gyrus, Left, superior bank of gyrus"	"supramarginal gyrus, superior bank of gyrus"	supramarginal gyrus	-54.300	-31.100	45.600	post_Salience
br1_H0351.2001	666	275-107	22	CX	4107	"supramarginal gyrus, Left, inferior bank of gyrus"	"supramarginal gyrus, inferior bank of gyrus"	supramarginal gyrus	-63.000	-38.700	25.500	post_Salience
br1_H0351.2001	579	275-107	22	CX	4107	"supramarginal gyrus, Left, inferior bank of gyrus"	"supramarginal gyrus, inferior bank of gyrus"	supramarginal gyrus	-65.100	-38.800	25.400	post_Salience
br1_H0351.2001	1021	275-111	18	CX	4233	"Cingulate gyrus, parietal part, Right, superior bank of gyrus"	"Cingulate gyrus, parietal part, superior bank of gyrus"	"Cingulate gyrus, parietal part"	6.300	-13.900	31.500	Precuneus
br1_H0351.2001	685	275-108	20	CX	4231	"Cingulate gyrus, parietal part, Left, inferior bank of gyrus"	"Cingulate gyrus, parietal part, inferior bank of gyrus"	"Cingulate gyrus, parietal part"	-1.200	-16.700	29.600	Precuneus
br1_H0351.2001	202	275-104	28	CX	4116	"angular gyrus, Right, superior bank of gyrus"	"angular gyrus, superior bank of gyrus"	angular gyrus	36.600	-65.700	45.200	Precuneus
br1_H0351.2001	121	275-104	30	CX	4123	"precuneus, Right, superior lateral bank of gyrus"	"precuneus, superior lateral bank of gyrus"	precuneus	3.800	-67.500	44.800	Precuneus
br1_H0351.2001	161	275-104	30	CX	4121	"precuneus, Left, inferior lateral bank of gyrus"	"precuneus, inferior lateral bank of gyrus"	precuneus	1.700	-67.200	38.000	Precuneus
br1_H0351.2001	153	275-105	30	CX	4124	"precuneus, Right,  inferior lateral bank of gyrus"	"precuneus,  inferior lateral bank of gyrus"	precuneus	-5.700	-70.400	30.500	Precuneus
br1_H0351.2001	219	275-104	28	CX	4189	"cuneus, Right, peristriate"	"cuneus, peristriate"	cuneus	11.100	-70.800	15.300	prim_Visual
br1_H0351.2001	211	275-104	28	CX	4197	"lingual gyrus, Right, striate"	"lingual gyrus, striate"	lingual gyrus	12.100	-73.000	6.800	prim_Visual
br1_H0351.2001	298	275-105	26	CX	4197	"lingual gyrus, Right, striate"	"lingual gyrus, striate"	lingual gyrus	8.200	-63.000	11.500	prim_Visual
