probe_id	Entrez_id	gene_symbol
CUST_9126_PI416261804	1	A1BG
CUST_50_PI416408490	2	A2M
CUST_15931_PI416261804	10	NAT2
A_23_P2920	12	SERPINA3
A_23_P80570	13	AADAC
CUST_6789_PI416261804	14	AAMP
CUST_15782_PI416261804	15	AANAT
A_24_P172990	16	AARS
A_24_P330684	18	ABAT
A_24_P289265	19	ABCA1
CUST_16485_PI416261804	20	ABCA2
CUST_16089_PI416261804	21	ABCA3
CUST_15999_PI416261804	22	ABCB7
A_23_P251660	23	ABCF1
CUST_16005_PI416261804	24	ABCA4
A_24_P282416	25	ABL1
CUST_8984_PI416261804	26	AOC1
A_32_P34970	27	ABL2
CUST_15327_PI416261804	29	ABR
A_24_P379858	30	ACAA1
A_24_P179033	31	ACACA
A_23_P87791	32	ACACB
A_24_P234242	33	ACADL
A_23_P65022	35	ACADS
A_32_P61313	36	ACADSB
CUST_15285_PI416261804	37	ACADVL
A_24_P930262	38	ACAT1
A_23_P383835	39	ACAT2
A_24_P239219	40	ASIC2
CUST_12445_PI416261804	41	ASIC1
CUST_16359_PI416261804	43	ACHE
CUST_9014_PI416261804	47	ACLY
A_23_P9415	48	ACO1
A_23_P40734	49	ACR
A_23_P305481	50	ACO2
A_24_P935889	51	ACOX1
A_24_P922919	52	ACP1
CUST_816_PI416379584	53	ACP2
A_24_P46130	55	ACPP
CUST_894_PI416261804	56	ACRV1
CUST_15163_PI416261804	58	ACTA1
A_24_P92680	59	ACTA2
A_23_P31323	60	ACTB
A_23_P205894	70	ACTC1
A_23_P39955	72	ACTG2
A_23_P315241	81	ACTN4
A_23_P69249	86	ACTL6A
A_24_P107695	87	ACTN1
A_24_P119678	88	ACTN2
CUST_16199_PI416261804	90	ACVR1
A_23_P99036	91	ACVR1B
CUST_16955_PI416261804	92	ACVR2A
A_23_P109950	93	ACVR2B
CUST_10606_PI416261804	97	ACYP1
A_23_P256988	98	ACYP2
CUST_14646_PI416261804	100	ADA
CUST_14276_PI416261804	101	ADAM8
A_24_P24890	102	ADAM10
A_24_P918592	103	ADAR
A_32_P141849	104	ADARB1
A_32_P45727	105	ADARB2
A_23_P21002	107	ADCY1
A_32_P405973	108	ADCY2
A_24_P919249	111	ADCY5
A_23_P501547	112	ADCY6
A_23_P106945	113	ADCY7
CUST_15239_PI416261804	114	ADCY8
A_23_P49443	115	ADCY9
A_23_P38712	116	ADCYAP1
CUST_9910_PI416261804	117	ADCYAP1R1
A_24_P109272	118	ADD1
A_23_P421436	119	ADD2
A_23_P202435	120	ADD3
CUST_14000_PI416261804	123	PLIN2
A_23_P58359	124	ADH1A
A_23_P81158	126	ADH1C
A_24_P920938	132	ADK
CUST_14343_PI416261804	133	ADM
CUST_62_PI416408490	134	ADORA1
CUST_13568_PI416261804	136	ADORA2B
A_23_P137931	140	ADORA3
CUST_7645_PI416261804	141	ADPRH
CUST_9838_PI416261804	146	ADRA1D
A_32_P26621	147	ADRA1B
CUST_7_PI416558205	148	ADRA1A
CUST_16591_PI416261804	150	ADRA2A
A_23_P378926	151	ADRA2B
CUST_16013_PI416261804	152	ADRA2C
CUST_16160_PI416261804	153	ADRB1
CUST_16801_PI416261804	154	ADRB2
A_23_P202667	156	ADRBK1
CUST_69_PI416408490	157	ADRBK2
CUST_13293_PI416261804	158	ADSL
A_23_P201432	159	ADSS
A_23_P4885	160	AP2A1
A_24_P350252	161	AP2A2
A_23_P6398	162	AP1B1
A_24_P690273	163	AP2B1
A_23_P318208	164	AP1G1
A_23_P145916	165	AEBP1
A_24_P416728	166	AES
CUST_1468_PI416261804	167	CRISP1
A_23_P355289	172	AFG3L1P
A_23_P69606	173	AFM
A_23_P58205	174	AFP
CUST_14159_PI416261804	175	AGA
CUST_17093_PI416261804	176	ACAN
CUST_15462_PI416261804	177	AGER
CUST_14559_PI416261804	178	AGL
CUST_9794_PI416261804	181	AGRP
CUST_13510_PI416261804	182	JAG1
A_23_P318860	187	APLNR
A_23_P83590	189	AGXT
CUST_14976_PI416261804	190	NR0B1
A_24_P57367	191	AHCY
A_23_P215566	196	AHR
A_23_P155514	197	AHSG
CUST_13531_PI416261804	199	AIF1
A_23_P70785	202	AIM1
A_24_P278192	203	AK1
A_24_P933965	204	AK2
A_23_P200524	205	AK4
A_23_P2960	207	AKT1
A_23_P373475	208	AKT2
A_23_P217114	210	ALAD
A_23_P57877	211	ALAS1
A_32_P385587	212	ALAS2
A_23_P257834	213	ALB
A_32_P74643	214	ALCAM
CUST_15693_PI416261804	215	ABCD1
CUST_15603_PI416261804	216	ALDH1A1
A_23_P36753	217	ALDH2
A_23_P207213	218	ALDH3A1
A_23_P135294	219	ALDH1B1
CUST_16139_PI416261804	221	ALDH3B1
A_23_P24311	222	ALDH3B2
CUST_16143_PI416261804	223	ALDH9A1
A_23_P129896	224	ALDH3A2
A_23_P388124	225	ABCD2
CUST_13535_PI416261804	226	ALDOA
A_23_P32143	229	ALDOB
CUST_9455_PI416261804	230	ALDOC
CUST_13611_PI416261804	231	AKR1B1
CUST_14666_PI416261804	238	ALK
A_23_P152909	239	ALOX12
A_24_P674207	240	ALOX5
A_24_P347378	241	ALOX5AP
CUST_8237_PI416261804	245	ALOX12P2
CUST_8878_PI416261804	248	ALPI
A_23_P97046	249	ALPL
A_23_P79587	250	ALPP
A_24_P131580	251	ALPPL2
A_23_P85941	257	ALX3
A_23_P44867	258	AMBN
A_23_P256504	259	AMBP
A_23_P214121	262	AMD1
A_23_P96478	265	AMELX
A_24_P182254	266	AMELY
A_23_P141005	267	AMFR
CUST_15630_PI416261804	268	AMH
A_24_P115990	269	AMHR2
CUST_9652_PI416261804	271	AMPD2
A_24_P304154	272	AMPD3
A_23_P31273	273	AMPH
A_23_P165333	274	BIN1
A_24_P174503	275	AMT
CUST_4616_PI416261804	279	AMY2A
A_23_P428738	283	ANG
CUST_15206_PI416261804	285	ANGPT2
A_24_P162483	286	ANK1
A_23_P133068	287	ANK2
CUST_16586_PI416261804	290	ANPEP
CUST_11776_PI416261804	291	SLC25A4
A_24_P182183	292	SLC25A5
A_23_P33752	293	SLC25A6
A_23_P94501	301	ANXA1
A_24_P937744	302	ANXA2
A_24_P204244	303	ANXA2P1
A_24_P323114	305	ANXA2P3
CUST_1074_PI416261804	306	ANXA3
A_24_P731255	307	ANXA4
A_23_P69720	308	ANXA5
CUST_15233_PI416261804	309	ANXA6
A_24_P107142	311	ANXA11
A_23_P60009	312	ANXA13
A_23_P145718	313	AOAH
A_23_P4133	314	AOC2
CUST_1245_PI416573500	317	APAF1
CUST_7826_PI416261804	318	NUDT2
CUST_3408_PI416261804	320	APBA1
A_23_P146849	321	APBA2
A_24_P372613	322	APBB1
A_24_P234701	323	APBB2
A_23_P96827	325	APCS
A_24_P254355	326	AIRE
A_23_P41143	327	APEH
A_23_P151649	328	APEX1
A_32_P80697	329	BIRC2
CUST_16193_PI416261804	330	BIRC3
A_23_P22460	331	XIAP
A_23_P118815	332	BIRC5
CUST_16330_PI416261804	333	APLP1
A_23_P203191	335	APOA1
A_24_P302249	336	APOA2
A_23_P87036	337	APOA4
A_24_P109214	341	APOC1
CUST_11694_PI416261804	343	AQP8
A_23_P203183	345	APOC3
A_23_P136777	347	APOD
A_23_P164650	348	APOE
CUST_84_PI416408490	351	APP
CUST_14919_PI416261804	353	APRT
CUST_16817_PI416261804	355	FAS
CUST_1097_PI416261804	357	SHROOM2
A_23_P204721	359	AQP2
A_23_P112482	360	AQP3
A_24_P202522	361	AQP4
A_23_P117104	362	AQP5
CUST_85_PI416408490	367	AR
A_23_P100539	368	ABCC6
CUST_8977_PI416261804	369	ARAF
A_24_P201531	372	ARCN1
A_24_P208998	373	TRIM23
CUST_2894_PI416261804	374	AREG
A_23_P201086	375	ARF1
A_24_P187750	377	ARF3
A_24_P925786	378	ARF4
A_23_P55179	379	ARL4D
A_23_P254601	381	ARF5
A_24_P472455	382	ARF6
A_23_P128728	384	ARG2
A_24_P174550	387	RHOA
A_23_P51136	388	RHOB
A_23_P12514	389	RHOC
CUST_16742_PI416261804	390	RND3
A_23_P150718	391	RHOG
A_23_P44057	392	ARHGAP1
CUST_10451_PI416261804	393	ARHGAP4
CUST_10999_PI416261804	394	ARHGAP5
CUST_7503_PI416261804	395	ARHGAP6
A_24_P366994	396	ARHGDIA
CUST_15579_PI416261804	397	ARHGDIB
CUST_6602_PI416261804	398	ARHGDIG
A_23_P58132	399	RHOH
A_32_P36101	400	ARL1
A_23_P98252	402	ARL2
A_24_P286935	403	ARL3
CUST_14423_PI416261804	406	ARNTL
A_24_P344976	407	ARR3
A_24_P386622	408	ARRB1
CUST_15820_PI416261804	409	ARRB2
CUST_16060_PI416261804	410	ARSA
A_24_P205213	411	ARSB
CUST_15997_PI416261804	412	STS
A_23_P357760	414	ARSD
A_24_P924251	415	ARSE
CUST_10307_PI416261804	416	ARSF
A_24_P24002	419	ART3
A_24_P933278	420	ART4
A_24_P911348	421	ARVCF
A_24_P928637	427	ASAH1
CUST_13870_PI416261804	429	ASCL1
A_23_P105088	430	ASCL2
CUST_5072_PI416261804	432	ASGR1
CUST_1129_PI416261804	433	ASGR2
CUST_91_PI416408490	435	ASL
A_24_P16856	438	ASMT
CUST_8990_PI416261804	439	ASNA1
A_24_P373475	443	ASPA
CUST_10533_PI416261804	444	ASPH
A_23_P31921	445	ASS1
A_32_P22383	460	ASTN1
CUST_11194_PI416261804	463	ZFHX3
A_23_P105646	466	ATF1
A_24_P33895	467	ATF3
A_23_P120941	468	ATF4
CUST_16028_PI416261804	471	ATIC
A_24_P103944	472	ATM
A_24_P920247	473	RERE
CUST_16165_PI416261804	474	ATOH1
CUST_12132_PI416261804	475	ATOX1
A_23_P1072	476	ATP1A1
CUST_16576_PI416261804	477	ATP1A2
CUST_15156_PI416261804	478	ATP1A3
A_23_P87982	479	ATP12A
A_24_P333420	480	ATP1A4
A_23_P62932	481	ATP1B1
CUST_7540_PI416261804	482	ATP1B2
A_23_P68007	483	ATP1B3
